📄 AddBos: 255
📄 BosId: 128000 (<｜begin▁of▁sentence｜>)
📄 EosId: 128001 (<｜end▁of▁sentence｜>) 128001 (<｜end▁of▁sentence｜>) 
📄 RegularVocabSize: 128000
📄 SpecialVocabSize: 256
💡 Arch: Llama
💡 HiddenAct: Silu
💡 Dim: 4096
💡 HeadDim: 128
💡 QDim: 4096
💡 KvDim: 1024
💡 HiddenDim: 14336
💡 VocabSize: 128256
💡 nLayers: 32
💡 nHeads: 32
💡 nKvHeads: 8
💡 OrigSeqLen: 131072
💡 SeqLen: 8192
💡 NormEpsilon: 0.000010
💡 RopeType: Llama3.1
💡 RopeTheta: 500000
💡 RopeScaling: f=8.0, l=1.0, h=4.0, o=8192
📀 RequiredMemory: 3588 MB
⭕ Socket[0]: connecting to 192.168.1.77:9998 worker
⭕ Socket[0]: connected
⭕ Socket[1]: connecting to 192.168.1.75:9998 worker
⭕ Socket[1]: connected
⭕ Socket[2]: connecting to 192.168.1.76:9998 worker
⭕ Socket[2]: connected
⭕ Network is initialized
🧠 CPU: neon fp16
💿 Loading weights...
💿 Loaded 12/32
💿 Loaded 13/32
💿 Loaded 14/32
💿 Loaded 15/32
💿 Loaded 16/32
💿 Loaded 17/32
💿 Loaded 18/32
💿 Loaded 19/32
💿 Loaded 20/32
💿 Loaded 21/32
💿 Loaded 22/32
💿 Loaded 23/32
💿 Loaded 24/32
💿 Loaded 25/32
💿 Loaded 26/32
💿 Loaded 27/32
💿 Loaded 28/32
💿 Loaded 29/32
💿 Loaded 30/32
💿 Loaded 31/32
💿 Loaded 32/32
💿 Weights loaded
🚁 Network is in non-blocking mode
Five houses in a row, each a different color, owner nationality, drink, cigarette, and pet. Solve the full Einstein zebra puzzle step by step, stating every deduction and why, then give the final assignment table.
🔷️ Eval 2880 ms Sync  485 ms | Sent 27648 kB Recv 38136 kB | (32 tokens)
🔷️ Eval 1292 ms Sync  209 ms | Sent 11232 kB Recv 15492 kB | (13 tokens)
🔶 Pred   94 ms Sync   32 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred  105 ms Sync   43 ms | Sent   864 kB Recv  1191 kB |  need
🔶 Pred  103 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  this
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  for
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred   95 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  puzzle
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | 'm
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  working
🔶 Pred   95 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  on
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  so
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred  105 ms Sync   13 ms | Sent   864 kB Recv  1191 kB |  want
🔶 Pred  145 ms Sync   24 ms | Sent   864 kB Recv  1191 kB |  to
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  make
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  sure
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred   93 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  get
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  it
🔶 Pred   93 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  right
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | .


🔶 Pred  108 ms Sync   14 ms | Sent   864 kB Recv  1191 kB | Okay
🔶 Pred  134 ms Sync   65 ms | Sent   864 kB Recv  1191 kB | ,
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  so
🔶 Pred  105 ms Sync   61 ms | Sent   864 kB Recv  1191 kB |  I
🔶 Pred   95 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  have
🔶 Pred   93 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  this
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  puzzle
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  about
🔶 Pred   96 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  five
🔶 Pred   93 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  houses
🔶 Pred   93 ms Sync   17 ms | Sent   864 kB Recv  1191 kB |  in
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  row
🔶 Pred  142 ms Sync   14 ms | Sent   864 kB Recv  1191 kB | .
🔶 Pred  121 ms Sync   18 ms | Sent   864 kB Recv  1191 kB |  Each
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  house
🔶 Pred   94 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  is
🔶 Pred   95 ms Sync   18 ms | Sent   864 kB Recv  1191 kB |  a
🔶 Pred   95 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  different
🔶 Pred   94 ms Sync   16 ms | Sent   864 kB Recv  1191 kB |  color
🔶 Pred   95 ms Sync   16 ms | Sent   864 kB Recv  1191 kB | .
🔶 Pred   95 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  The
🔶 Pred   95 ms Sync   15 ms | Sent   864 kB Recv  1191 kB |  owners
