# DeepSeek-R1-Distill-8B Q40, 4xPi5 16GB, optimized stack (nthreads3+jemalloc), plain decode
# warmup x2
run,eval_prefill_toks,pred_decode_toks
1,16.16,7.62
2,15.47,7.69
3,15.50,7.66
4,16.11,7.60
5,15.81,7.61
6,15.31,7.62
7,16.13,7.57
8,15.91,7.55
9,15.47,7.57
10,15.87,7.58
11,15.29,7.53
12,15.99,7.52
13,14.89,7.56
14,16.09,7.57
15,16.09,7.56
16,15.93,7.62
17,15.83,7.61
18,15.99,7.59
19,15.58,7.59
20,15.54,7.59
DECODE n=20 mean=7.591 stdev=0.041 95CI=+/-0.018 min=7.520 max=7.690 p50=7.590 p90=7.624 p99=7.684
PREFILL n=20 mean=15.748
